Rating,Review
0,"What's really lacking in The Lightning Thief is a genuine sense of wonder, the same thing that brings viewers back to Hogwarts over and over again."
0,It's more a list of ingredients than a movie-magic potion to enjoy from start to finish.
1,"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references."
1,"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display."
0,"For what it is and for whom it is intended, it's not a bad movie, just an indifferent one."
0,"Chris Columbus returns to his comfort zone for this mirthless, episodic fantasy saga based on the young-reader book series by Rick Riordan."
0,"When the movie slows down to catch its breath, there's very little of the heart and soul -- and wry wit -- that make the Riordan books so beloved."
0,"Although the standard allegorical bases for mythical-quest movies are dutifully covered, the obvious similarity of Percy Jackson to the Harry Potter movies inevitably makes it feel somewhat secondhand."
1,You don't even have to be familiar with the first book in Rick Riordan's popular fantasy series to enjoy Chris Columbus' energetic adaptation.
0,"This is generic filmmaking at its most banal, a simple-minded simplification of a not overwhelmingly complex book."
0,"Kids may well enjoy the adventures of The Lightning Thief on screen, but I think most readers will prefer the movie in their imaginations."
1,An attempt to steal some of Harry Potter's thunder that also stands on its own as a well-made large-scale adventure that works well enough to entertain the teens it's hoping to strike.
1,"With great effects (and a few surprises) it's a fun, Saturday-matinee adventure."
0,Columbus directs with his usual frying pan to the head. Music is forever swelling majestically. Characters are always opening wide their eyes and mouths to gaze in wonder.
0,"Percy Jackson & the Olympians sounds like an Otis Redding cover band. It is, instead, an unofficial cover of the Harry Potter franchise."
0,The movie feels like a cut-rate Potter knockoff with a dash of Ray Harryhausen.
0,"In Columbus' hands, it once again all breaks down into a series of rushed, breathless special-effects setpieces, in a thrill ride that isn't headed anywhere new."
1,The Lightning Thief makes the idea of a sequel seem like an inviting proposition.
1,"The Lightning Thief isn't electric, but it generates some spark when it varies the Grecian formula."
0,"Even with all its computer-generated fireballs, it's lukewarm medium-budget blockbustering."
1,Uma Thurman demonstrates she can wear a snake-covered head as gracefully as Pierce Brosnan can trot around with a horse's netherlands.
1,"Action movies of this scale often start off strong and wind down to forgettable finales, but Percy Jackson is the opposite, overcoming a clunky setup to deliver nearly all its thrills in the last half-hour."
1,Director Chris Columbus has brought together the modern and mythical spheres with sharp pacing and a nifty sense of fun that atone for the film's dippier moments. It's his most enjoyable effort since Harry Potter and the Chamber of Secrets.
0,"Dutifully Potteresque it begins, and dutifully Potteresque it ends."
0,"Has all the CGI sorcery of a Harry Potter pic, but none of the magic."
0,"Percy Jackson, you are no Harry Potter. You are not fit to walk in a hobbit's wake."
0,"Harry, Ron and Hermione: Relax. You could whip Percy Jackson and his pals with your wand hands tied behind your backs."
0,"The film toggles between high camp and deadly earnestness, all the while threatening to drown in an ocean of not-so-special effects."
0,"Likable as Percy may be, it's not lightning he's stolen."
1,This is a kids' movie: Parents can either get into the silly-suspenseful spirit of it or play Rummikub on their iPhones.
0,All you have at the end of it is an enervating feeling of deja vu.
1,"Like its stars, the film is genial good company."
0,"Unfortunately, the movie lacks that good old Potter charm, trading Harry's dark whimsy for a handful of CGI magic beans."
0,Some moments of inspired silliness save this escapist adventure from complete dullness.
1,"""It is a bit hard to see quite where Percy Jackson and the Lightening Thief's market lies. Too adult for juveniles, too juvenile for adults."
1,I thought it was mischievous and witty and amusing and I was just sort of drawn into it.
0,"It's not enough to compensate for the computer-game-style plotting, which is largely based on us picking up narrative nuggets that mechanically slot into place later on."
1,"Kids will love it, and adults may relish Pierce Brosnan's Centaur, and Steve Coogan as Hades - in his personal hell just under Hollywood."
0,A slab of market research in search of an actual movie.
0,Digitisation reigns - spectacular visual effects - while the dialogue drizzles and sploshes.
0,"If they'd played it for laughs it might just have worked, but in fact its earnest tone and digimation effects stick pretty close to the Potter model. We could be in for a very long haul."
0,This ineffably wooden Chris Columbus adaptation of author Rick Riordan's best-seller for young teens has a screenplay that defies description.
0,The Greek gods had outsized powers and petty grievances. These Gen-Y demigods are no different - it's a whole generation of kids with daddy issues
1,"Like Holofcener's previous pictures, Please Give derives its narrative energy less from a series of plotted incidents than from its keenly observed interplay of clashing personality tics and worldviews."
0,"A muted, almost Rohmer-like moral tale that doesn't quite dive deeply enough into its several characters."
1,"An edgy, somber, beautifully written Manhattan fable of guilt, shame, infidelity, death and real estate."
1,"It's a tricky kind of social satire, its possibly cloying self-absorption cut only by some winningly awkward characters."
1,An engagingly high-strung comedy about lack of empathy and the gnawing guilt that can attend it.
1,Holofcener's humorous interest in yupscale entitlem.ent and its discontents mark her as a descendant of Woody Allen
1,"[Holofcener] has real sympathy -- characters that might have been brittle, mockable creations in another writer-director's hands gain resonance here."
0,"At a time when every penny counts, where do they come up with the money to finance a movie this boring?"
1,"Such fine-tuned observation requires the ideal interpreter. Keener has always been Holofcener's muse, and once again offers the sort of fully crafted portrait that reminds us how shallow most movies really are."
1,"With her new film, the poignant and funny Please Give, Holofcener is at the top of her game."
1,"Sometimes -- and far too rarely -- a film will hit all the right notes, with sharp, original dialogue, brilliant casting and an absorbing story. So caught up in its spell, you dread seeing the credits roll. Please Give is that movie."
1,Some people might find it distasteful to make a movie about guilty rich folks who give themselves permission to splurge. Others will rightly appreciate the honesty.
1,"One of the best movies of the year so far. An insightful, darkly funny and multi-layered character study about class and family."
1,"Few American filmmakers create female characters as realistically funny, attractively imperfect and flat-out annoying as does Ms. Holofcener."
0,Two possible ways of regarding Please Give: It's shallow. Or maybe it's deeply shallow.
1,"Please Give is Holofcener's best movie to date. The slender plot presents itself without fuss, a slice of Manhattan life, a la Woody Allen's early, most engaging work."
1,"This gorgeous film, always tender and sometimes dark, is a deeply resonant comic drama that's concerned with nothing less than life, death, love, sex, guilt and the urban logic of mortality."
0,"[Although] I think Holofcener's work is always interesting, I think this is the least satisfying of all her films I've seen."
1,"Brutally honest about the way people behave, and often devastatingly funny in its observations."
1,"Please Give is a moral comedy that feels at times like one of the late Eric Rohmer's deceptively breezy miniatures, or a mid-period Woody Allen movie - the fussiness."
1,"In its casual, disarming way, it's as deep and as grand a film as you'll find"
1,This is one of those rare movies that made me want to thank the person who did it.
1,"The movie is about imperfect characters in a difficult world, who mostly do the best they can under the circumstances, but not always. Do you realize what a revolutionary approach that is for a movie these days?"
1,"Please Give is a series of such set-piece scenes, a breezy, though not negligible, exploration of the contest between avarice and empathy."
0,Only Rebecca Hall comes through with a genuineness that rises above Holofcener's doodlings.
0,"Far from challenging, the film consoles the complacent, saying basically that you can do whatever you want, so long as you feel (or pretend to feel) a little guilty about it."
0,"Yet another ramble through the tiny world of the affluent and the idle, a particular fascination of Holofcener's. The only difference this time is the increased emphasis on morbidity."
1,Some filmmakers make movies that hold up a mirror to nature. Nicole Holofcener makes seriocomedies that hold up a magnifying glass to human nature.
1,There's no movie around right now with a subject more pertinent. It'll hit you hard.
1,Please Give is one of those movies that can be enjoyed simply for its funny portraits of human foibles and fumbling grasps at intimacy -- but it's also deceivingly profound.
1,"Nicole Holofcener is frequently lauded for writing vivid female characters, but such praise doesn't really do justice to her full game."
1,"Please Give is an almost perfectly rendered slice of life, buoyant with wonderful performances."
1,"While Please Give is a film about conscience, it's also slyly funny, with piercing moments of insight and warmth."
1,"In a Holofcener film, the usual rules of screenwriting do not apply, which lends her work a lifelike quality that's particularly refreshing in this era of formulaic remakes and sequels."
1,"Happily, the joy outweighs the guilt."
1,"Holofcener's biggest ally against nauseating self-pity is Keener, her screen alter ego."
1,"Three dimensional characters, direct no nonsense dialogue and a dry sense of humour combine to create an understated thoroughly enjoyable feel-good film that leaves viewers with an invisible glow."
1,"Nicole Holofcener's lovely Please Give is a small, modest movie, full of the sort of characters we might know, or be."
1,"Touching: that's what makes Holofcener's films so lovely. They are beady-eyed satires, sure, but they're also fundamentally kind-hearted."
1,"It sparks laughter by crossing the wires of human motivation, letting you see the hazards that exist in trying to be a good person."
1,"Life-goes-on movies usually don't electrify the senses, but this one stimulates moral imagination."
1,"Keener has become Holofcener's artistic alter ego. In Please Give, the sharp-eyed filmmaker sends her vibrant representative out into the world to explore what it means for a woman to be lucky and still feel itchy."
1,"Nicole Holofcener, who writes the most interesting female characters in the movies, delivers another dazzling role to her muse, Catherine Keener, in Please Give, a delightfully dry dramedy about guilt."
0,
1,"Blake Edwards's 10 is perhaps the first comedy about terminal yearning. Like all great comedies, it deals with emotions very close to our hearts."
0,"A sporadically funny, marginally interesting fiasco that might have evolved into a memorable romantic comedy."
1,"This is a film where tension comes from personality conflict, dialogue and body language, not action."
1,"Although it may sound ungallant, these 12 Angry Men, are all right without distaff glamour. Their dramas are powerful and provocative enough to keep a viewer spellbound."
1,A strangely realistic thriller.
1,"Mechanically written, but within its own middlebrow limitations, it delivers the goods."
1,The film leaves a tremendous impact.
1,"Too few films take on the art of arguing as a subject; we could certainly use more of them, but until then, Lumet's window into strained civic duty will continue to serve mightily."
1,"The talky 20,000 Leagues probably won't thrill kids fresh from The Matrix, but they may be interested to know that the Verne film was the effects marvel of its day."
1,"As fabulous and fantastic as anything he has ever done in cartoons is Walt Disney's 'live action' movie made from Jules Verne's 20,000 Leagues Under the Sea."
1,"This is one of the great movie adventures, fully deserving its canonisation in Disney World."
1,"Walt Disney's production of 20000 Leagues under the Sea is very special kind of picture, combining photographic ingenuity, imaginative story telling and fiscal daring."
1,Grandly entertaining.
0,"It's best not to think too hard about anything in 10,000 BC, a sublimely dunderheaded excursion into human prehistory."
